# x_m,y_m,w_tr_left_m,w_tr_right_m 
0.1724048,-2.727798,0.0,0.0
0.1800334,-2.7213421,0.0,0.0
0.1876575,-2.7148818,0.0,0.0
0.1952771,-2.7084166,0.0,0.0
0.2028928,-2.7019459,0.0,0.0
0.2105049,-2.6954691,0.0,0.0
0.2181137,-2.6889856,0.0,0.0
0.2257195,-2.6824949,0.0,0.0
0.2333226,-2.6759964,0.0,0.0
0.2409235,-2.6694894,0.0,0.0
0.2485225,-2.6629735,0.0,0.0
0.2560888,-2.6564747,0.0,0.0
0.2636491,-2.6499699,0.0,0.0
0.2712078,-2.6434551,0.0,0.0
0.2787647,-2.6369299,0.0,0.0
0.28632,-2.6303941,0.0,0.0
0.2938736,-2.6238473,0.0,0.0
0.3014253,-2.6172892,0.0,0.0
0.3089752,-2.6107196,0.0,0.0
0.3165233,-2.6041383,0.0,0.0
0.3240694,-2.5975448,0.0,0.0
0.3316136,-2.5909389,0.0,0.0
0.3391155,-2.5843557,0.0,0.0
0.3465975,-2.5777754,0.0,0.0
0.3540774,-2.571182,0.0,0.0
0.3615552,-2.5645752,0.0,0.0
0.3690309,-2.5579546,0.0,0.0
0.3765043,-2.5513199,0.0,0.0
0.3839755,-2.5446708,0.0,0.0
0.3914444,-2.5380071,0.0,0.0
0.3989109,-2.5313283,0.0,0.0
0.406375,-2.5246342,0.0,0.0
0.4138366,-2.5179245,0.0,0.0
0.4212647,-2.5112268,0.0,0.0
0.4286485,-2.5045507,0.0,0.0
0.4360296,-2.4978585,0.0,0.0
0.4434079,-2.4911498,0.0,0.0
0.4507832,-2.4844244,0.0,0.0
0.4581555,-2.477682,0.0,0.0
0.4655245,-2.4709225,0.0,0.0
0.4728902,-2.4641455,0.0,0.0
0.4802524,-2.4573508,0.0,0.0
0.4876109,-2.4505382,0.0,0.0
0.4949657,-2.4437074,0.0,0.0
0.5023126,-2.4368619,0.0,0.0
0.5095794,-2.4300689,0.0,0.0
0.516842,-2.4232575,0.0,0.0
0.5241003,-2.4164274,0.0,0.0
0.5313541,-2.4095784,0.0,0.0
0.5386032,-2.4027102,0.0,0.0
0.5458474,-2.3958228,0.0,0.0
0.5530866,-2.3889158,0.0,0.0
0.5603205,-2.3819891,0.0,0.0
0.5675491,-2.3750425,0.0,0.0
0.574772,-2.3680758,0.0,0.0
0.5819891,-2.3610887,0.0,0.0
0.5891558,-2.3541244,0.0,0.0
0.5962795,-2.3471757,0.0,0.0
0.6033969,-2.3402065,0.0,0.0
0.6105079,-2.3332168,0.0,0.0
0.6176121,-2.3262063,0.0,0.0
0.6247094,-2.319175,0.0,0.0
0.6317995,-2.3121227,0.0,0.0
0.6388822,-2.3050491,0.0,0.0
0.6459573,-2.2979543,0.0,0.0
0.6530246,-2.2908379,0.0,0.0
0.6600838,-2.2836999,0.0,0.0
0.6671347,-2.2765401,0.0,0.0
0.6741062,-2.2694308,0.0,0.0
0.6810622,-2.2623069,0.0,0.0
0.6880094,-2.2551613,0.0,0.0
0.6949476,-2.2479939,0.0,0.0
0.7018763,-2.2408046,0.0,0.0
0.7087955,-2.2335933,0.0,0.0
0.7157049,-2.2263598,0.0,0.0
0.7226042,-2.2191041,0.0,0.0
0.7294931,-2.2118261,0.0,0.0
0.7363714,-2.2045256,0.0,0.0
0.7432389,-2.1972026,0.0,0.0
0.7500847,-2.1898681,0.0,0.0
0.7568592,-2.1825757,0.0,0.0
0.7636223,-2.175261,0.0,0.0
0.7703737,-2.1679239,0.0,0.0
0.7771131,-2.1605642,0.0,0.0
0.7838404,-2.153182,0.0,0.0
0.7905551,-2.1457772,0.0,0.0
0.7972571,-2.1383496,0.0,0.0
0.803946,-2.1308994,0.0,0.0
0.8106217,-2.1234263,0.0,0.0
0.8172837,-2.1159303,0.0,0.0
0.8239319,-2.1084113,0.0,0.0
0.8305501,-2.1008876,0.0,0.0
0.837109,-2.0933923,0.0,0.0
0.8436534,-2.0858744,0.0,0.0
0.8501832,-2.0783337,0.0,0.0
0.856698,-2.0707704,0.0,0.0
0.8631975,-2.0631843,0.0,0.0
0.8696815,-2.0555754,0.0,0.0
0.8761497,-2.0479438,0.0,0.0
0.8826017,-2.0402893,0.0,0.0
0.8890374,-2.032612,0.0,0.0
0.8954564,-2.0249118,0.0,0.0
0.9018584,-2.0171888,0.0,0.0
0.90823,-2.0094588,0.0,0.0
0.9145475,-2.0017508,0.0,0.0
0.9208476,-1.9940202,0.0,0.0
0.9271298,-1.986267,0.0,0.0
0.9333939,-1.9784913,0.0,0.0
0.9396396,-1.9706931,0.0,0.0
0.9458666,-1.9628724,0.0,0.0
0.9520747,-1.9550292,0.0,0.0
0.9582634,-1.9471635,0.0,0.0
0.9644327,-1.9392753,0.0,0.0
0.970582,-1.9313647,0.0,0.0
0.9767113,-1.9234316,0.0,0.0
0.9828136,-1.9154847,0.0,0.0
0.9888638,-1.9075567,0.0,0.0
0.9948932,-1.8996067,0.0,0.0
1.0009017,-1.8916346,0.0,0.0
1.0068888,-1.8836405,0.0,0.0
1.0128544,-1.8756244,0.0,0.0
1.0187981,-1.8675865,0.0,0.0
1.0247197,-1.8595267,0.0,0.0
1.0306188,-1.851445,0.0,0.0
1.0364952,-1.8433416,0.0,0.0
1.0423486,-1.8352165,0.0,0.0
1.0481787,-1.8270697,0.0,0.0
1.0539851,-1.8189015,0.0,0.0
1.0597412,-1.8107491,0.0,0.0
1.0654735,-1.8025754,0.0,0.0
1.0711815,-1.7943805,0.0,0.0
1.0768651,-1.7861645,0.0,0.0
1.0825239,-1.7779273,0.0,0.0
1.0881576,-1.7696692,0.0,0.0
1.093766,-1.7613901,0.0,0.0
1.0993489,-1.7530902,0.0,0.0
1.1049058,-1.7447695,0.0,0.0
1.1104366,-1.7364281,0.0,0.0
1.115941,-1.7280661,0.0,0.0
1.1214186,-1.7196835,0.0,0.0
1.126857,-1.7112996,0.0,0.0
1.1322647,-1.7029007,0.0,0.0
1.1376451,-1.6944817,0.0,0.0
1.1429978,-1.6860426,0.0,0.0
1.1483226,-1.6775836,0.0,0.0
1.1536192,-1.6691048,0.0,0.0
1.1588874,-1.6606063,0.0,0.0
1.1641268,-1.6520881,0.0,0.0
1.1693373,-1.6435505,0.0,0.0
1.1745184,-1.6349934,0.0,0.0
1.1796701,-1.6264171,0.0,0.0
1.1847919,-1.6178216,0.0,0.0
1.1898804,-1.6092125,0.0,0.0
1.1949356,-1.6005895,0.0,0.0
1.1999604,-1.5919477,0.0,0.0
1.2049543,-1.5832873,0.0,0.0
1.2099173,-1.5746084,0.0,0.0
1.2148489,-1.5659111,0.0,0.0
1.219749,-1.5571955,0.0,0.0
1.2246173,-1.5484618,0.0,0.0
1.2294536,-1.5397101,0.0,0.0
1.2342576,-1.5309406,0.0,0.0
1.2390289,-1.5221533,0.0,0.0
1.2437675,-1.5133485,0.0,0.0
1.2484735,-1.5045253,0.0,0.0
1.2531474,-1.4956823,0.0,0.0
1.2577878,-1.4868222,0.0,0.0
1.2623943,-1.477945,0.0,0.0
1.2669668,-1.4690509,0.0,0.0
1.271505,-1.4601402,0.0,0.0
1.2760086,-1.4512129,0.0,0.0
1.2804775,-1.4422692,0.0,0.0
1.2849114,-1.4333093,0.0,0.0
1.28931,-1.4243334,0.0,0.0
1.2936731,-1.4153415,0.0,0.0
1.2980004,-1.4063338,0.0,0.0
1.3022919,-1.3973106,0.0,0.0
1.3065549,-1.3882552,0.0,0.0
1.3107815,-1.3791842,0.0,0.0
1.3149714,-1.370098,0.0,0.0
1.3191243,-1.3609968,0.0,0.0
1.32324,-1.3518809,0.0,0.0
1.3273182,-1.3427504,0.0,0.0
1.3313588,-1.3336055,0.0,0.0
1.3353616,-1.3244464,0.0,0.0
1.3393263,-1.3152732,0.0,0.0
1.3432526,-1.3060862,0.0,0.0
1.3471405,-1.2968855,0.0,0.0
1.3509896,-1.2876713,0.0,0.0
1.3548089,-1.2784217,0.0,0.0
1.3585921,-1.2691507,0.0,0.0
1.3623358,-1.2598668,0.0,0.0
1.3660396,-1.25057,0.0,0.0
1.3697035,-1.2412607,0.0,0.0
1.3733272,-1.231939,0.0,0.0
1.3769106,-1.2226052,0.0,0.0
1.3804534,-1.2132593,0.0,0.0
1.3839555,-1.2039017,0.0,0.0
1.3874166,-1.1945325,0.0,0.0
1.3908366,-1.185152,0.0,0.0
1.3942152,-1.1757603,0.0,0.0
1.3975603,-1.1663353,0.0,0.0
1.4008705,-1.1568793,0.0,0.0
1.4041384,-1.1474126,0.0,0.0
1.407364,-1.1379356,0.0,0.0
1.410547,-1.1284484,0.0,0.0
1.4136873,-1.1189513,0.0,0.0
1.4167847,-1.1094445,0.0,0.0
1.419839,-1.0999283,0.0,0.0
1.4228501,-1.0904028,0.0,0.0
1.4258179,-1.0808683,0.0,0.0
1.4287421,-1.071325,0.0,0.0
1.4316226,-1.0617731,0.0,0.0
1.4344651,-1.0521927,0.0,0.0
1.4372733,-1.0425703,0.0,0.0
1.4400368,-1.0329399,0.0,0.0
1.4427556,-1.0233018,0.0,0.0
1.4454294,-1.0136562,0.0,0.0
1.4480582,-1.0040035,0.0,0.0
1.4506418,-0.9943438,0.0,0.0
1.4531801,-0.9846774,0.0,0.0
1.4556729,-0.9750045,0.0,0.0
1.4581202,-0.9653254,0.0,0.0
1.4605218,-0.9556404,0.0,0.0
1.4628776,-0.9459497,0.0,0.0
1.4651918,-0.9362347,0.0,0.0
1.4674703,-0.9264686,0.0,0.0
1.4697021,-0.9166974,0.0,0.0
1.4718869,-0.9069215,0.0,0.0
1.4740248,-0.8971411,0.0,0.0
1.4761156,-0.8873565,0.0,0.0
1.4781592,-0.877568,0.0,0.0
1.4801556,-0.8677758,0.0,0.0
1.4821046,-0.8579801,0.0,0.0
1.4840061,-0.8481814,0.0,0.0
1.48586,-0.8383798,0.0,0.0
1.4876664,-0.8285755,0.0,0.0
1.4894287,-0.8187476,0.0,0.0
1.4911522,-0.8088644,0.0,0.0
1.492827,-0.7989794,0.0,0.0
1.4944532,-0.7890929,0.0,0.0
1.4960307,-0.7792052,0.0,0.0
1.4975594,-0.7693165,0.0,0.0
1.4990393,-0.7594272,0.0,0.0
1.5004702,-0.7495374,0.0,0.0
1.5018523,-0.7396476,0.0,0.0
1.5031854,-0.729758,0.0,0.0
1.5044694,-0.7198689,0.0,0.0
1.5057043,-0.7099806,0.0,0.0
1.5068938,-0.7000619,0.0,0.0
1.5080397,-0.6900921,0.0,0.0
1.5091355,-0.680124,0.0,0.0
1.5101813,-0.6701578,0.0,0.0
1.511177,-0.6601939,0.0,0.0
1.5121227,-0.6502327,0.0,0.0
1.5130183,-0.6402743,0.0,0.0
1.5138639,-0.6303192,0.0,0.0
1.5146593,-0.6203675,0.0,0.0
1.5154047,-0.6104197,0.0,0.0
1.5160999,-0.600476,0.0,0.0
1.516745,-0.5905367,0.0,0.0
1.5173431,-0.5805497,0.0,0.0
1.5178926,-0.570527,0.0,0.0
1.5183911,-0.5605097,0.0,0.0
1.5188386,-0.5504982,0.0,0.0
1.5192352,-0.5404928,0.0,0.0
1.519581,-0.5304938,0.0,0.0
1.5198758,-0.5205016,0.0,0.0
1.5201199,-0.5105164,0.0,0.0
1.5203132,-0.5005387,0.0,0.0
1.5204558,-0.4905686,0.0,0.0
1.5205477,-0.4806066,0.0,0.0
1.5205889,-0.4706529,0.0,0.0
1.5205793,-0.4606192,0.0,0.0
1.5205181,-0.4505802,0.0,0.0
1.5204054,-0.4405507,0.0,0.0
1.5202413,-0.430531,0.0,0.0
1.5200259,-0.4205216,0.0,0.0
1.5197594,-0.4105227,0.0,0.0
1.5194417,-0.4005347,0.0,0.0
1.519073,-0.3905579,0.0,0.0
1.5186534,-0.3805927,0.0,0.0
1.518183,-0.3706394,0.0,0.0
1.5176619,-0.3606983,0.0,0.0
1.5170883,-0.350738,0.0,0.0
1.5164584,-0.3407081,0.0,0.0
1.5157769,-0.3306917,0.0,0.0
1.5150441,-0.3206892,0.0,0.0
1.51426,-0.310701,0.0,0.0
1.5134249,-0.3007274,0.0,0.0
1.5125389,-0.2907688,0.0,0.0
1.511602,-0.2808256,0.0,0.0
1.5106146,-0.270898,0.0,0.0
1.5095767,-0.2609864,0.0,0.0
1.5084884,-0.2510913,0.0,0.0
1.5073501,-0.2412128,0.0,0.0
1.5061487,-0.2312459,0.0,0.0
1.5048936,-0.2212749,0.0,0.0
1.5035876,-0.2113221,0.0,0.0
1.502231,-0.2013879,0.0,0.0
1.5008239,-0.1914727,0.0,0.0
1.4993666,-0.1815769,0.0,0.0
1.4978592,-0.1717009,0.0,0.0
1.4963021,-0.1618449,0.0,0.0
1.4946954,-0.1520094,0.0,0.0
1.4930393,-0.1421948,0.0,0.0
1.491334,-0.1324014,0.0,0.0
1.4895662,-0.1225544,0.0,0.0
1.4877361,-0.1126614,0.0,0.0
1.4858562,-0.1027914,0.0,0.0
1.4839267,-0.0929448,0.0,0.0
1.4819479,-0.0831219,0.0,0.0
1.4799202,-0.0733232,0.0,0.0
1.4778438,-0.0635489,0.0,0.0
1.475719,-0.0537995,0.0,0.0
1.4735461,-0.0440753,0.0,0.0
1.4713253,-0.0343768,0.0,0.0
1.469057,-0.0247043,0.0,0.0
1.4667263,-0.0149957,0.0,0.0
1.4643232,-0.0052143,0.0,0.0
1.4618719,0.0045391,0.0,0.0
1.4593728,0.014264,0.0,0.0
1.4568262,0.02396,0.0,0.0
1.4542325,0.0336267,0.0,0.0
1.4515922,0.0432638,0.0,0.0
1.4489054,0.0528709,0.0,0.0
1.4461727,0.0624475,0.0,0.0
1.4433943,0.0719932,0.0,0.0
1.4405706,0.0815078,0.0,0.0
1.4376777,0.0910704,0.0,0.0
1.4347066,0.1007061,0.0,0.0
1.4316897,0.1103082,0.0,0.0
1.4286274,0.1198761,0.0,0.0
1.4255202,0.1294095,0.0,0.0
1.4223685,0.1389081,0.0,0.0
1.4191728,0.1483713,0.0,0.0
1.4159334,0.1577988,0.0,0.0
1.4126509,0.1671901,0.0,0.0
1.4093257,0.176545,0.0,0.0
1.4059583,0.1858629,0.0,0.0
1.4024951,0.1952892,0.0,0.0
1.3989641,0.2047434,0.0,0.0
1.3953904,0.2141577,0.0,0.0
1.3917746,0.2235316,0.0,0.0
1.3881172,0.2328647,0.0,0.0
1.3844188,0.2421566,0.0,0.0
1.3806799,0.251407,0.0,0.0
1.376901,0.2606153,0.0,0.0
1.3730827,0.2697812,0.0,0.0
1.3692256,0.2789042,0.0,0.0
1.3653108,0.2880287,0.0,0.0
1.3612702,0.2973088,0.0,0.0
1.3571905,0.3065424,0.0,0.0
1.3530722,0.315729,0.0,0.0
1.3489161,0.3248681,0.0,0.0
1.3447228,0.3339595,0.0,0.0
1.3404929,0.3430025,0.0,0.0
1.3362271,0.3519968,0.0,0.0
1.3319261,0.360942,0.0,0.0
1.3275905,0.3698376,0.0,0.0
1.3232209,0.3786831,0.0,0.0
1.3186823,0.3877478,0.0,0.0
1.3141029,0.3967704,0.0,0.0
1.3094896,0.4057384,0.0,0.0
1.3048433,0.4146513,0.0,0.0
1.3001647,0.4235086,0.0,0.0
1.2954546,0.4323099,0.0,0.0
1.2907138,0.4410547,0.0,0.0
1.285943,0.4497427,0.0,0.0
1.2811432,0.4583732,0.0,0.0
1.2763057,0.4669623,0.0,0.0
1.2712638,0.4758008,0.0,0.0
1.2661933,0.4845761,0.0,0.0
1.2610949,0.4932877,0.0,0.0
1.2559699,0.5019351,0.0,0.0
1.2508191,0.5105178,0.0,0.0
1.2456435,0.5190354,0.0,0.0
1.2404441,0.5274874,0.0,0.0
1.2352219,0.5358733,0.0,0.0
1.2299779,0.5441928,0.0,0.0
1.2245907,0.5526358,0.0,0.0
1.2190635,0.5611918,0.0,0.0
1.2135161,0.5696736,0.0,0.0
1.2079497,0.5780808,0.0,0.0
1.2023656,0.586413,0.0,0.0
1.1967651,0.5946696,0.0,0.0
1.1911495,0.6028502,0.0,0.0
1.1855202,0.6109544,0.0,0.0
1.1798785,0.6189818,0.0,0.0
1.1741065,0.6270983,0.0,0.0
1.1681313,0.6354004,0.0,0.0
1.1621468,0.6436155,0.0,0.0
1.1561546,0.6517432,0.0,0.0
1.1501562,0.659783,0.0,0.0
1.1441533,0.6677346,0.0,0.0
1.1381475,0.6755974,0.0,0.0
1.1321404,0.6833711,0.0,0.0
1.1261334,0.6910552,0.0,0.0
1.1198355,0.6990174,0.0,0.0
1.1134348,0.7070126,0.0,0.0
1.1070401,0.7149045,0.0,0.0
1.1006532,0.7226928,0.0,0.0
1.0942762,0.730377,0.0,0.0
1.0879109,0.7379568,0.0,0.0
1.0815592,0.7454318,0.0,0.0
1.0752232,0.7528015,0.0,0.0
1.0685882,0.7604273,0.0,0.0
1.0617845,0.7681509,0.0,0.0
1.0550062,0.7757504,0.0,0.0
1.0482556,0.7832255,0.0,0.0
1.0415353,0.7905759,0.0,0.0
1.0348476,0.7978012,0.0,0.0
1.028195,0.8049012,0.0,0.0
1.0215037,0.8119552,0.0,0.0
1.0142894,0.8194637,0.0,0.0
1.0071266,0.8268201,0.0,0.0
1.0000183,0.8340243,0.0,0.0
0.9929679,0.8410762,0.0,0.0
0.9859785,0.8479755,0.0,0.0
0.9790534,0.8547222,0.0,0.0
0.971967,0.8615344,0.0,0.0
0.964377,0.8687285,0.0,0.0
0.9568801,0.8757313,0.0,0.0
0.9494807,0.882543,0.0,0.0
0.9421832,0.8891638,0.0,0.0
0.934992,0.895594,0.0,0.0
0.9277324,0.9019906,0.0,0.0
0.91975,0.9089141,0.0,0.0
0.9119259,0.9155886,0.0,0.0
0.9042666,0.9220154,0.0,0.0
0.8967786,0.9281959,0.0,0.0
0.8894683,0.9341313,0.0,0.0
0.8812246,0.9407072,0.0,0.0
0.8730498,0.9471052,0.0,0.0
0.8651547,0.9531679,0.0,0.0
0.8575492,0.9588995,0.0,0.0
0.8496013,0.9647748,0.0,0.0
0.8409823,0.9710142,0.0,0.0
0.8328607,0.9767701,0.0,0.0
0.8252537,0.9820557,0.0,0.0
0.8164554,0.9880483,0.0,0.0
0.8080571,0.9936659,0.0,0.0
0.800448,0.9987024,0.0,0.0
0.7913698,1.0047563,0.0,0.0
0.7834956,1.0104305,0.0,0.0
0.7785719,1.0176369,0.0,0.0
0.7863917,1.0233821,0.0,0.0
0.794983,1.0277644,0.0,0.0
0.8036883,1.0329418,0.0,0.0
0.8118543,1.0390612,0.0,0.0
0.8189126,1.0459441,0.0,0.0
0.8250371,1.0540366,0.0,0.0
0.8295562,1.0626773,0.0,0.0
0.8326155,1.0722413,0.0,0.0
0.8339665,1.0820178,0.0,0.0
0.833753,1.0916816,0.0,0.0
0.8319755,1.1019945,0.0,0.0
0.8291571,1.111067,0.0,0.0
0.8253389,1.1198898,0.0,0.0
0.8203357,1.12896,0.0,0.0
0.8145335,1.1376317,0.0,0.0
0.8089153,1.1448616,0.0,0.0
0.8025008,1.1521358,0.0,0.0
0.7952557,1.159417,0.0,0.0
0.7871455,1.1666678,0.0,0.0
0.7797179,1.1726479,0.0,0.0
0.7721972,1.1781821,0.0,0.0
0.7641292,1.1836337,0.0,0.0
0.7555155,1.188982,0.0,0.0
0.7463579,1.1942065,0.0,0.0
0.736658,1.1992868,0.0,0.0
0.7282933,1.2033356,0.0,0.0
0.7196596,1.2072316,0.0,0.0
0.7106908,1.2110088,0.0,0.0
0.7013985,1.2146628,0.0,0.0
0.691794,1.2181886,0.0,0.0
0.6818887,1.2215817,0.0,0.0
0.6716941,1.2248375,0.0,0.0
0.6624253,1.2276046,0.0,0.0
0.6532083,1.2301858,0.0,0.0
0.6437969,1.2326562,0.0,0.0
0.6341969,1.2350133,0.0,0.0
0.624414,1.2372543,0.0,0.0
0.6144541,1.2393769,0.0,0.0
0.604323,1.2413785,0.0,0.0
0.5940264,1.2432564,0.0,0.0
0.5841417,1.2449165,0.0,0.0
0.5746011,1.2463907,0.0,0.0
0.56494,1.2477596,0.0,0.0
0.5551628,1.2490219,0.0,0.0
0.5452738,1.2501764,0.0,0.0
0.5352775,1.2512218,0.0,0.0
0.5251783,1.2521566,0.0,0.0
0.5149805,1.2529796,0.0,0.0
0.5046886,1.2536896,0.0,0.0
0.4945622,1.2542719,0.0,0.0
0.4848243,1.2547251,0.0,0.0
0.4750156,1.2550773,0.0,0.0
0.4651392,1.2553277,0.0,0.0
0.4551986,1.2554755,0.0,0.0
0.4451969,1.2555199,0.0,0.0
0.4351374,1.2554602,0.0,0.0
0.4250234,1.2552953,0.0,0.0
0.4148581,1.2550246,0.0,0.0
0.4046449,1.2546473,0.0,0.0
0.3946124,1.2541742,0.0,0.0
0.384787,1.253613,0.0,0.0
0.3749262,1.2529529,0.0,0.0
0.3650325,1.2521934,0.0,0.0
0.3551087,1.2513341,0.0,0.0
0.3451571,1.2503745,0.0,0.0
0.3351804,1.2493141,0.0,0.0
0.3251811,1.2481525,0.0,0.0
0.3151617,1.2468893,0.0,0.0
0.3051249,1.245524,0.0,0.0
0.2951098,1.2440616,0.0,0.0
0.2853339,1.2425375,0.0,0.0
0.2755483,1.240916,0.0,0.0
0.265755,1.2391969,0.0,0.0
0.255956,1.2373799,0.0,0.0
0.2461533,1.2354649,0.0,0.0
0.236349,1.2334516,0.0,0.0
0.2265451,1.2313399,0.0,0.0
0.2167436,1.2291294,0.0,0.0
0.2069465,1.22682,0.0,0.0
0.1971558,1.2244115,0.0,0.0
0.1874517,1.2219241,0.0,0.0
0.1778449,1.2193624,0.0,0.0
0.1682497,1.2167047,0.0,0.0
0.1586675,1.2139507,0.0,0.0
0.1491,1.2111006,0.0,0.0
0.1395488,1.2081542,0.0,0.0
0.1300154,1.2051117,0.0,0.0
0.1205015,1.2019728,0.0,0.0
0.1110085,1.1987378,0.0,0.0
0.1015382,1.1954064,0.0,0.0
0.092092,1.1919787,0.0,0.0
0.0827326,1.188478,0.0,0.0
0.0734353,1.184896,0.0,0.0
0.0641656,1.18122,0.0,0.0
0.0549248,1.1774501,0.0,0.0
0.0457141,1.1735864,0.0,0.0
0.0365346,1.1696291,0.0,0.0
0.0273875,1.1655784,0.0,0.0
0.0182739,1.1614345,0.0,0.0
0.0091952,1.1571975,0.0,0.0
0.0001523,1.1528676,0.0,0.0
